period,dln_x,se1,se2,dln_e,se3,se4,dln_r,se5,se6,dln_n,se7,se8,dln_y,se9,se10,dln_b,se11,se12
1,1.175224,1.405464,0.944984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.277916,0.804576,-0.248744,-0.839173,-0.360353,-1.317993,-0.067932,0.389988,-0.525852,-0.586128,-0.185888,-0.986368,0.051093,0.433153,-0.330967,-0.010049,0.371291,-0.391389
3,0.108564,0.732024,-0.514896,0.212491,0.797771,-0.372789,-0.188115,0.398645,-0.774875,-0.158907,0.353973,-0.671787,0.200815,0.730475,-0.328845,0.203015,0.731795,-0.325765
4,0.099805,0.743245,-0.543635,0.060207,0.700327,-0.579913,0.130662,0.739142,-0.477818,-0.029275,0.508725,-0.567275,0.09553,0.66425,-0.47319,0.040378,0.599638,-0.518882
5,0.114148,0.787568,-0.559272,0.200904,0.863204,-0.461396,-0.035958,0.597882,-0.669798,-0.08121,0.49019,-0.65261,0.232691,0.835331,-0.369949,0.075721,0.683521,-0.532079
6,0.187232,0.853932,-0.479468,-0.018438,0.655502,-0.692378,-0.015968,0.596852,-0.628788,0.034803,0.587003,-0.517397,0.01218,0.59496,-0.5706,-0.220653,0.402227,-0.843533
7,0.109449,0.797749,-0.578851,-0.044827,0.624253,-0.713907,-0.021638,0.566462,-0.609738,-0.087818,0.447162,-0.622798,0.138029,0.684909,-0.408851,0.176411,0.786191,-0.433369
8,0.0875,0.80874,-0.63374,0.09118,0.74648,-0.56412,0.005698,0.592698,-0.581302,-0.153164,0.399976,-0.706304,0.083984,0.647004,-0.479036,0.013258,0.641918,-0.615402
9,0.022917,0.779417,-0.733583,-0.008926,0.672894,-0.690746,0.028201,0.627081,-0.570679,0.011168,0.589868,-0.567532,0.097611,0.688771,-0.493549,-0.044303,0.602997,-0.691603
10,0.00179,0.80185,-0.79827,-0.018446,0.687534,-0.724426,0.043029,0.675269,-0.589211,-0.101495,0.489025,-0.692015,0.017234,0.632894,-0.598426,0.023084,0.694224,-0.648056
