period,ln_b,se1,se2,ln_be,se1e,se2e
1,1.798853,2.427453,1.170253,1.394064,2.084404,0.703724
2,2.454767,3.609187,1.300347,1.518864,2.735444,0.302284
3,2.194562,3.770942,0.618182,1.195701,2.768781,-0.377379
4,2.184025,4.162025,0.206025,1.163762,3.109402,-0.781878
5,2.435512,4.704292,0.166732,1.223066,3.445686,-0.999554
6,2.424912,4.911252,-0.061428,1.161666,3.595626,-1.272294
7,2.390166,5.123806,-0.343474,1.123649,3.785129,-1.537831
8,2.467214,5.435094,-0.500666,1.132752,3.991712,-1.726208
9,2.491265,5.650105,-0.667575,1.123996,4.144796,-1.896804
10,2.478216,5.827556,-0.871124,1.109504,4.287564,-2.068556
